name,type,unit,ui_unit,writable,min,max,category,source,severity,access_level
s1_temperature,float,째C,,false,,,,metrics,,
s1_humidity,float,%,,false,,,,metrics,,
s2_temperature,float,째C,,false,,,,metrics,,
s2_humidity,float,%,,false,,,,metrics,,
s3_temperature,float,째C,,false,,,,metrics,,
s3_humidity,float,%,,false,,,,metrics,,
s4_temperature,float,째C,,false,,,,metrics,,
s4_humidity,float,%,,false,,,,metrics,,
alarm_com_s1,string,,,false,,,,events,alarm,
alarm_com_s2,string,,,false,,,,events,alarm,
alarm_com_s3,string,,,false,,,,events,alarm,
alarm_com_s4,string,,,false,,,,events,alarm,